to,Acutemyelogenousleukemia,Alzheimersdisease,Arthritis,Asthma,Braintumor,Breasttum,Breasttumor,Chronicthromboembolicpulmonaryhypertension,Colorectaltumor,Diabetesmellitus,Diabeticcataract,Diabeticcomplication,Diabeticeyedisease,Diabeticfootulcer,Diabeticgastroparesis,Diabeticmacularedema,Diabeticneuropathy,Diabeticperipheralneuropathy,Diabeticretinopathy,Gastrointestinalstromaltumor,Gastrointestinaltumor,HIV-1infection,HIV-2infection,HIV-associatedlipodystrophy,HIVassociateddementia,HIVinfec,HIVinfection,Headandnecktumor,Hormonedependentprostatecancer,Hormonerefractoryprostatecancer,Inflammatorybreastcancer,Livertumor,Melanoma,Metastaticbraincancer,Metastaticbreastcancer,Metastaticcolorectalcancer,Metastaticheadandneckcancer,Metastaticprostatecancer,Metastaticrenalcancer,Multiplemyeloma,Neuropathicpain,Non-Hodgkinlymphoma,Non-insulindependentdiabetes,Non-small-celllungcan,Non-small-celllungcance,Non-small-celllungcancer,Ocularmelanoma,Pagetsbreastdisease,Pain,Pancreaticcystadenocarcinoma,Pancreaticductaladenocarcinoma,Parkinsonsdisease,Prostatectomy,Prostatetu,Prostatetumor,Psoriasis,Renaltumor,Rheumatoidarthritis,StageIIImelanoma,StageIVmelanoma,Uvealmelanoma
600095,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
600098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600099,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
600100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
600102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
600106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
600108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
600113,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
